symbol,strategy_id,side,entry_price,exit_price,qty,gross_pnl,fees_paid,net_pnl,opened_at,closed_at,duration_seconds
BTCUSDT,breakout,long,18297.04664,17455.578271,0.0594,-49.9832,2.1237,-52.1069,2023-01-05T08:00:00+00:00,2023-01-09T12:00:00+00:00,360000.0
BTCUSDT,breakout,long,19924.089028,18963.021882,0.0514,-49.3989,1.9988,-51.3976,2023-01-14T16:00:00+00:00,2023-01-15T08:00:00+00:00,57600.0
BTCUSDT,breakout,long,19940.474705,18962.841017,0.05,-48.8817,1.9452,-50.8269,2023-02-03T12:00:00+00:00,2023-02-08T08:00:00+00:00,417600.0
BTCUSDT,breakout,long,17861.538845,16891.060634,0.0249,-24.1649,0.8653,-25.0302,2023-03-18T12:00:00+00:00,2023-03-25T16:00:00+00:00,619200.0
BTCUSDT,breakout,short,16439.561112,13545.206225,0.0499,144.4283,1.4962,142.9321,2023-03-26T00:00:00+00:00,2023-03-31T04:00:00+00:00,446400.0
BTCUSDT,breakout,long,14307.649089,13658.782725,0.0382,-24.7867,1.0683,-25.855,2023-04-08T12:00:00+00:00,2023-04-09T12:00:00+00:00,86400.0
BTCUSDT,breakout,short,13097.89977,11032.747551,0.0358,73.9324,0.8639,73.0686,2023-04-14T20:00:00+00:00,2023-04-26T16:00:00+00:00,1022400.0
BTCUSDT,breakout,long,10962.848555,10446.530826,0.0485,-25.0414,1.0384,-26.0798,2023-05-06T04:00:00+00:00,2023-05-07T12:00:00+00:00,115200.0
BTCUSDT,breakout,long,10081.571701,11505.203523,0.0525,74.7407,1.1333,73.6074,2023-05-15T12:00:00+00:00,2023-05-24T04:00:00+00:00,748800.0
BTCUSDT,breakout,long,14012.945751,13380.452718,0.0399,-25.2365,1.093,-26.3295,2023-06-08T00:00:00+00:00,2023-06-16T20:00:00+00:00,763200.0
BTCUSDT,breakout,long,14083.689256,16095.71143,0.0375,75.4508,1.1317,74.3191,2023-06-20T12:00:00+00:00,2023-06-27T00:00:00+00:00,561600.0
