symbol,strategy_id,side,entry_price,exit_price,qty,gross_pnl,fees_paid,net_pnl,opened_at,closed_at,duration_seconds
BTCUSDT,breakout,long,19117.400445,18535.422537,0.0859,-49.9919,3.2344,-53.2263,2023-01-13T12:00:00+00:00,2023-01-15T16:00:00+00:00,187200.0
BTCUSDT,breakout,short,18009.405997,17270.850236,0.1674,123.6342,5.9059,117.7283,2023-02-13T12:00:00+00:00,2023-02-13T12:00:00+00:00,0.0
BTCUSDT,breakout,long,17982.254984,17702.467991,0.181,-50.6414,6.4589,-57.1004,2023-02-26T16:00:00+00:00,2023-02-26T20:00:00+00:00,14400.0
BTCUSDT,breakout,short,16452.2693,14766.96137,0.0742,125.0498,2.3165,122.7334,2023-03-26T00:00:00+00:00,2023-03-29T08:00:00+00:00,288000.0
BTCUSDT,breakout,short,11359.912753,11650.180115,0.1767,-51.2902,4.0659,-55.3561,2023-04-19T16:00:00+00:00,2023-04-20T12:00:00+00:00,72000.0
BTCUSDT,breakout,long,12618.800096,12361.041307,0.1968,-50.7269,4.916,-55.643,2023-06-01T20:00:00+00:00,2023-06-02T08:00:00+00:00,43200.0
BTCUSDT,breakout,long,17123.591263,16699.227781,0.1182,-50.1598,3.9979,-54.1576,2023-06-29T20:00:00+00:00,2023-06-30T00:00:00+00:00,14400.0
BTCUSDT,breakout,long,19622.024832,19293.658622,0.0756,-24.8245,2.942,-27.7665,2023-07-26T20:00:00+00:00,2023-07-26T20:00:00+00:00,0.0
BTCUSDT,breakout,short,23008.284497,21354.342318,0.0373,61.692,1.6547,60.0373,2023-08-28T16:00:00+00:00,2023-08-29T04:00:00+00:00,43200.0
BTCUSDT,breakout,long,24328.866064,23491.776946,0.0298,-24.9453,1.4251,-26.3703,2023-09-15T20:00:00+00:00,2023-09-17T12:00:00+00:00,144000.0
BTCUSDT,breakout,short,23023.788831,22394.041687,0.0322,20.2779,1.4625,18.8154,2024-02-21T08:00:00+00:00,2024-02-21T08:00:00+00:00,0.0
BTCUSDT,breakout,long,24381.165528,23711.631866,0.0394,-26.3796,1.8949,-28.2745,2024-03-17T04:00:00+00:00,2024-03-17T12:00:00+00:00,28800.0
BTCUSDT,breakout,short,42987.157725,42466.986375,0.0108,5.6179,0.9229,4.6949,2024-12-08T00:00:00+00:00,2024-12-08T00:00:00+00:00,0.0
