symbol,strategy_id,side,entry_price,exit_price,qty,gross_pnl,fees_paid,net_pnl,opened_at,closed_at,duration_seconds
BTCUSDT,breakout,short,30329.020686,30819.470736,0.1019,-49.9769,6.231,-56.2079,2023-02-05T12:00:00+00:00,2023-02-06T16:00:00+00:00,100800.0
BTCUSDT,breakout,short,33040.368906,34124.691361,0.0455,-49.3367,3.056,-52.3927,2023-03-01T16:00:00+00:00,2023-03-05T00:00:00+00:00,288000.0
BTCUSDT,breakout,long,31590.630378,31035.049514,0.088,-48.8911,5.5111,-54.4022,2023-04-23T12:00:00+00:00,2023-04-23T16:00:00+00:00,14400.0
BTCUSDT,breakout,long,34215.712941,33505.50119,0.034,-24.1472,2.3025,-26.4497,2023-06-12T08:00:00+00:00,2023-06-12T20:00:00+00:00,43200.0
BTCUSDT,breakout,short,30393.795307,28316.860581,0.0694,144.1393,4.0745,140.0648,2023-06-22T00:00:00+00:00,2023-06-22T12:00:00+00:00,43200.0
BTCUSDT,breakout,short,26096.652826,26756.896513,0.0749,-49.4523,3.9587,-53.411,2023-06-24T12:00:00+00:00,2023-06-25T16:00:00+00:00,100800.0
BTCUSDT,breakout,short,23818.94916,24400.614445,0.042,-24.4299,2.0252,-26.4552,2023-07-03T04:00:00+00:00,2023-07-06T04:00:00+00:00,259200.0
BTCUSDT,breakout,long,25578.695135,25288.225952,0.0838,-24.3413,4.2626,-28.604,2023-07-14T08:00:00+00:00,2023-07-14T12:00:00+00:00,14400.0
BTCUSDT,breakout,short,23033.222731,22339.333249,0.1046,72.5808,4.746,67.8349,2023-08-07T12:00:00+00:00,2023-08-07T16:00:00+00:00,14400.0
BTCUSDT,breakout,long,25559.57938,26826.250247,0.0581,73.5936,3.0436,70.55,2023-08-13T20:00:00+00:00,2023-08-15T12:00:00+00:00,144000.0
BTCUSDT,breakout,short,23928.573512,24629.511165,0.0355,-24.8833,1.7238,-26.6071,2023-08-27T12:00:00+00:00,2023-08-28T20:00:00+00:00,115200.0
BTCUSDT,breakout,long,24201.054715,23696.683978,0.0491,-24.7646,2.3518,-27.1164,2023-10-15T12:00:00+00:00,2023-10-16T08:00:00+00:00,72000.0
BTCUSDT,breakout,short,21915.505196,22499.453194,0.0421,-24.5842,1.8699,-26.4541,2023-10-17T12:00:00+00:00,2023-10-20T16:00:00+00:00,273600.0
BTCUSDT,breakout,long,23856.745724,23303.895229,0.0443,-24.4913,2.0892,-26.5805,2023-11-03T00:00:00+00:00,2023-11-03T08:00:00+00:00,28800.0
BTCUSDT,breakout,long,26265.420438,25810.553909,0.0535,-24.3354,2.7861,-27.1214,2023-11-10T20:00:00+00:00,2023-11-11T00:00:00+00:00,14400.0
BTCUSDT,breakout,short,24786.596845,22410.13496,0.0305,72.4821,1.4395,71.0426,2023-11-22T04:00:00+00:00,2023-11-28T12:00:00+00:00,547200.0
BTCUSDT,breakout,short,19804.704496,16808.159027,0.0246,73.715,0.9007,72.8143,2023-12-03T00:00:00+00:00,2023-12-15T16:00:00+00:00,1094400.0
BTCUSDT,breakout,short,12302.805154,12520.884978,0.1144,-24.9483,2.8398,-27.7882,2024-01-18T00:00:00+00:00,2024-01-18T20:00:00+00:00,72000.0
BTCUSDT,breakout,long,13713.342403,13538.054296,0.1415,-24.8033,3.8561,-28.6593,2024-01-19T20:00:00+00:00,2024-01-20T08:00:00+00:00,43200.0
BTCUSDT,breakout,short,13355.40813,13501.610982,0.1687,-24.6644,4.5308,-29.1952,2024-01-30T08:00:00+00:00,2024-01-31T16:00:00+00:00,115200.0
BTCUSDT,breakout,short,12160.393201,12547.335268,0.0633,-24.4934,1.564,-26.0574,2024-02-20T08:00:00+00:00,2024-02-20T16:00:00+00:00,28800.0
BTCUSDT,breakout,short,10611.058024,9950.67116,0.1108,73.1709,2.2782,70.8926,2024-03-06T16:00:00+00:00,2024-03-08T12:00:00+00:00,158400.0
BTCUSDT,breakout,short,9255.80283,9544.725173,0.0856,-24.7318,1.6093,-26.3411,2024-03-10T04:00:00+00:00,2024-03-14T04:00:00+00:00,345600.0
BTCUSDT,breakout,long,10295.305592,9943.436808,0.0699,-24.5956,1.4147,-26.0103,2024-03-26T16:00:00+00:00,2024-03-28T12:00:00+00:00,158400.0
BTCUSDT,breakout,short,8664.134444,8946.730362,0.0866,-24.4728,1.5251,-25.9979,2024-04-08T04:00:00+00:00,2024-04-08T20:00:00+00:00,57600.0
BTCUSDT,breakout,short,8226.849234,7851.886419,0.1948,73.0428,3.1321,69.9106,2024-04-28T08:00:00+00:00,2024-04-29T00:00:00+00:00,57600.0
BTCUSDT,breakout,short,7517.545503,6816.155622,0.1056,74.0668,1.5136,72.5531,2024-05-20T00:00:00+00:00,2024-05-31T12:00:00+00:00,993600.0
BTCUSDT,breakout,short,6045.271334,5436.235736,0.1234,75.155,1.4168,73.7382,2024-06-06T04:00:00+00:00,2024-06-10T08:00:00+00:00,360000.0
BTCUSDT,breakout,long,6756.502278,6603.150253,0.3317,-50.8669,4.4314,-55.2983,2024-06-21T16:00:00+00:00,2024-06-22T04:00:00+00:00,43200.0
BTCUSDT,breakout,short,6801.906923,6933.914872,0.1906,-25.1607,2.618,-27.7788,2024-07-09T16:00:00+00:00,2024-07-10T04:00:00+00:00,43200.0
BTCUSDT,breakout,long,8677.174334,9533.62968,0.0876,75.0255,1.5953,73.4302,2024-07-29T08:00:00+00:00,2024-07-31T16:00:00+00:00,201600.0
BTCUSDT,breakout,short,8420.451337,8771.742236,0.0722,-25.3632,1.2413,-26.6045,2024-08-06T16:00:00+00:00,2024-08-09T12:00:00+00:00,244800.0
BTCUSDT,breakout,long,8126.496183,8808.229961,0.1111,75.7406,1.8814,73.8592,2024-08-26T00:00:00+00:00,2024-08-29T16:00:00+00:00,316800.0
BTCUSDT,breakout,short,9355.1126,9638.588799,0.1807,-51.2241,3.4322,-54.6563,2024-10-29T20:00:00+00:00,2024-10-30T20:00:00+00:00,86400.0
BTCUSDT,breakout,long,10076.933405,9886.492945,0.2662,-50.6953,5.3143,-56.0095,2024-11-13T00:00:00+00:00,2024-11-13T16:00:00+00:00,57600.0
BTCUSDT,breakout,long,10900.861295,10732.800426,0.2983,-50.1326,6.4533,-56.5859,2024-11-20T04:00:00+00:00,2024-11-22T00:00:00+00:00,158400.0
BTCUSDT,breakout,short,12277.992026,12819.790348,0.0457,-24.7602,1.147,-25.9072,2024-12-23T08:00:00+00:00,2024-12-25T04:00:00+00:00,158400.0
