symbol,strategy_id,side,entry_price,exit_price,qty,gross_pnl,fees_paid,net_pnl,opened_at,closed_at,duration_seconds
BTCUSDT,ema_crossover,long,18332.681017,17901.041521,0.1158,-49.9839,4.1959,-54.1797,2023-01-16T19:00:00+00:00,2023-01-17T04:00:00+00:00,32400.0
BTCUSDT,ema_crossover,long,13898.663451,13570.498296,0.1507,-49.4545,4.1396,-53.5941,2023-03-31T21:00:00+00:00,2023-04-02T23:00:00+00:00,180000.0
BTCUSDT,ema_crossover,short,12398.488057,12148.183141,0.2033,50.887,4.9903,45.8967,2023-05-26T11:00:00+00:00,2023-05-26T11:00:00+00:00,0.0
BTCUSDT,ema_crossover,long,14422.842968,14422.834231,0.1954,-0.0017,4.872,-4.8737,2023-06-22T23:00:00+00:00,2023-06-22T23:00:00+00:00,0.0
BTCUSDT,ema_crossover,short,21637.621385,22113.956302,0.0875,-41.6793,3.8283,-45.5076,2023-07-30T00:00:00+00:00,2023-07-30T06:00:00+00:00,21600.0
BTCUSDT,ema_crossover,long,22379.564175,23484.12824,0.0746,82.4005,3.4214,78.979,2023-08-29T20:00:00+00:00,2023-08-30T07:00:00+00:00,39600.0
BTCUSDT,ema_crossover,long,24377.31709,25544.282988,0.072,84.0215,3.5944,80.4272,2023-09-28T18:00:00+00:00,2023-10-01T01:00:00+00:00,198000.0
BTCUSDT,ema_crossover,short,22619.903025,22135.548622,0.0905,43.8341,4.0504,39.7837,2024-01-02T22:00:00+00:00,2024-01-02T22:00:00+00:00,0.0
BTCUSDT,ema_crossover,long,23992.679102,24015.048733,0.0884,1.9775,3.9485,-1.971,2024-01-15T20:00:00+00:00,2024-01-15T20:00:00+00:00,0.0
BTCUSDT,ema_crossover,short,26526.06146,27155.561341,0.0639,-40.225,3.4303,-43.6553,2024-02-14T00:00:00+00:00,2024-02-14T18:00:00+00:00,64800.0
BTCUSDT,ema_crossover,short,23596.255524,22553.763843,0.0763,79.5421,3.5212,76.0209,2024-03-17T18:00:00+00:00,2024-03-18T16:00:00+00:00,79200.0
BTCUSDT,ema_crossover,long,30468.507354,29793.403657,0.0601,-40.5737,3.6217,-44.1955,2024-03-29T03:00:00+00:00,2024-03-29T08:00:00+00:00,18000.0
BTCUSDT,ema_crossover,short,29875.983235,30548.40349,0.0596,-40.0762,3.6013,-43.6775,2024-08-04T17:00:00+00:00,2024-08-05T04:00:00+00:00,39600.0
BTCUSDT,ema_crossover,short,39643.850526,40693.241481,0.0378,-39.667,3.0367,-42.7037,2024-11-10T18:00:00+00:00,2024-11-11T04:00:00+00:00,36000.0
