symbol,strategy_id,side,entry_price,exit_price,qty,gross_pnl,fees_paid,net_pnl,opened_at,closed_at,duration_seconds
BTCUSDT,ema_trending,long,40936.650278,40216.124186,0.116,-83.581,9.4137,-92.9947,2024-01-07T10:00:00+00:00,2024-01-08T19:00:00+00:00,118800.0
BTCUSDT,ema_trending,long,51970.738848,63132.163478,0.0898,1002.2959,10.3362,991.9597,2024-01-18T00:00:00+00:00,2024-02-16T07:00:00+00:00,2530800.0
BTCUSDT,ema_trending,long,65097.655055,63972.046422,0.0861,-96.9149,11.1129,-108.0278,2024-02-16T15:00:00+00:00,2024-02-16T21:00:00+00:00,21600.0
BTCUSDT,ema_trending,long,67189.413791,66082.295249,0.0818,-90.5623,10.9016,-101.4639,2024-02-20T21:00:00+00:00,2024-02-21T01:00:00+00:00,14400.0
BTCUSDT,ema_trending,long,72326.273476,71186.456003,0.0747,-85.1444,10.7204,-95.8648,2024-02-27T06:00:00+00:00,2024-02-27T13:00:00+00:00,25200.0
BTCUSDT,ema_trending,long,74552.698123,73345.31959,0.0713,-86.0861,10.5451,-96.6312,2024-03-01T13:00:00+00:00,2024-03-01T16:00:00+00:00,10800.0
BTCUSDT,ema_trending,long,71017.647531,69854.879593,0.0735,-85.4634,10.3541,-95.8176,2024-03-03T05:00:00+00:00,2024-03-08T00:00:00+00:00,414000.0
BTCUSDT,ema_trending,long,66402.069119,65456.353579,0.0571,-54.0004,7.5291,-61.5295,2024-04-03T14:00:00+00:00,2024-04-12T15:00:00+00:00,781200.0
BTCUSDT,ema_trending,long,65931.72896,64850.007153,0.0493,-53.3289,6.4475,-59.7764,2024-04-16T08:00:00+00:00,2024-04-16T14:00:00+00:00,21600.0
BTCUSDT,ema_trending,long,64406.986343,88136.211412,0.0532,1262.3948,8.1153,1254.2795,2024-04-24T15:00:00+00:00,2024-06-12T07:00:00+00:00,4204800.0
