symbol,strategy_id,side,entry_price,exit_price,qty,gross_pnl,fees_paid,net_pnl,opened_at,closed_at,duration_seconds
BTCUSDT,mean_reversion,long,16014.189082,15852.88312,0.1785,-28.7931,5.6883,-34.4814,2023-01-05T01:00:00+00:00,2023-01-05T08:00:00+00:00,25200.0
BTCUSDT,mean_reversion,long,16113.503887,15635.817416,0.1887,-90.1394,5.9911,-96.1305,2023-01-14T04:00:00+00:00,2023-01-14T04:00:00+00:00,0.0
BTCUSDT,mean_reversion,long,17115.444976,17106.187914,0.1881,-1.7413,6.2985,-8.0398,2023-01-16T17:00:00+00:00,2023-01-16T17:00:00+00:00,0.0
BTCUSDT,mean_reversion,long,15780.243045,15598.923472,0.0819,-14.8501,2.57,-17.42,2023-01-18T04:00:00+00:00,2023-01-19T05:00:00+00:00,90000.0
BTCUSDT,mean_reversion,long,14052.818765,14723.879958,0.0798,53.5507,2.2964,51.2543,2023-01-28T22:00:00+00:00,2023-01-29T10:00:00+00:00,43200.0
BTCUSDT,mean_reversion,long,13038.447579,12906.676099,0.1003,-13.2167,2.6023,-15.819,2023-01-31T04:00:00+00:00,2023-01-31T19:00:00+00:00,54000.0
BTCUSDT,mean_reversion,long,13646.929944,14196.633152,0.1052,57.8288,2.9291,54.8996,2023-02-04T09:00:00+00:00,2023-02-04T09:00:00+00:00,0.0
BTCUSDT,mean_reversion,long,13630.983897,13429.061927,0.112,-22.6153,3.0307,-25.646,2023-02-04T11:00:00+00:00,2023-02-04T13:00:00+00:00,7200.0
BTCUSDT,mean_reversion,long,13647.872184,14723.624951,0.1009,108.5435,2.8627,105.6808,2023-02-06T12:00:00+00:00,2023-02-06T12:00:00+00:00,0.0
BTCUSDT,mean_reversion,long,13578.862953,13394.768343,0.1076,-19.8086,2.9024,-22.7109,2023-02-06T14:00:00+00:00,2023-02-06T20:00:00+00:00,21600.0
BTCUSDT,mean_reversion,long,13048.560711,12993.586374,0.1033,-5.6788,2.6902,-8.369,2023-02-07T01:00:00+00:00,2023-02-07T02:00:00+00:00,3600.0
BTCUSDT,mean_reversion,long,12874.025758,12680.595603,0.1071,-20.7164,2.7369,-23.4533,2023-02-07T04:00:00+00:00,2023-02-07T11:00:00+00:00,25200.0
BTCUSDT,mean_reversion,long,14396.213362,13181.006487,0.0921,-111.9206,2.5399,-114.4604,2023-02-18T14:00:00+00:00,2023-02-18T14:00:00+00:00,0.0
BTCUSDT,mean_reversion,long,13786.074656,14364.76843,0.0888,51.388,2.4998,48.8882,2023-02-19T01:00:00+00:00,2023-02-19T19:00:00+00:00,64800.0
BTCUSDT,mean_reversion,long,13061.528791,13985.979615,0.0898,83.0157,2.4289,80.5868,2023-02-20T18:00:00+00:00,2023-02-22T22:00:00+00:00,187200.0
BTCUSDT,mean_reversion,long,13485.689328,14495.380407,0.0967,97.6371,2.7058,94.9314,2023-02-24T06:00:00+00:00,2023-02-24T06:00:00+00:00,0.0
BTCUSDT,mean_reversion,long,13123.22123,13025.261638,0.1006,-9.8547,2.6305,-12.4853,2023-02-24T10:00:00+00:00,2023-02-24T12:00:00+00:00,7200.0
BTCUSDT,mean_reversion,long,13302.127685,14596.554377,0.0813,105.2369,2.2682,102.9687,2023-03-05T10:00:00+00:00,2023-03-05T10:00:00+00:00,0.0
BTCUSDT,mean_reversion,long,13263.775737,13015.106775,0.0883,-21.9575,2.3204,-24.2779,2023-03-05T12:00:00+00:00,2023-03-06T18:00:00+00:00,108000.0
BTCUSDT,mean_reversion,long,12962.708469,12659.006254,0.1122,-34.0754,2.8748,-36.9501,2023-03-06T21:00:00+00:00,2023-03-07T05:00:00+00:00,28800.0
BTCUSDT,mean_reversion,long,12534.638313,12324.981801,0.1204,-25.2426,2.9931,-28.2357,2023-03-07T07:00:00+00:00,2023-03-07T14:00:00+00:00,25200.0
BTCUSDT,mean_reversion,long,12183.500859,12012.933647,0.1235,-21.0651,2.9883,-24.0533,2023-03-07T16:00:00+00:00,2023-03-08T01:00:00+00:00,32400.0
BTCUSDT,mean_reversion,long,11920.322365,11623.345112,0.1164,-34.5682,2.7405,-37.3086,2023-03-08T03:00:00+00:00,2023-03-08T06:00:00+00:00,10800.0
BTCUSDT,mean_reversion,long,11523.477021,12106.661179,0.1161,67.7077,2.7435,64.9642,2023-03-08T08:00:00+00:00,2023-03-09T08:00:00+00:00,86400.0
BTCUSDT,mean_reversion,long,11222.694504,10986.67132,0.1284,-30.3054,2.8517,-33.1571,2023-03-12T15:00:00+00:00,2023-03-12T23:00:00+00:00,28800.0
BTCUSDT,mean_reversion,long,9936.327088,9765.773254,0.1516,-25.856,2.9868,-28.8428,2023-03-17T06:00:00+00:00,2023-03-17T11:00:00+00:00,18000.0
