symbol,strategy_id,side,entry_price,exit_price,qty,gross_pnl,fees_paid,net_pnl,opened_at,closed_at,duration_seconds
BTCUSDT,mean_reversion,short,10152.263881,10346.783153,0.257,-49.9915,5.2683,-55.2597,2023-05-15T10:00:00+00:00,2023-05-15T21:00:00+00:00,39600.0
BTCUSDT,mean_reversion,short,12540.887851,12800.64553,0.1903,-49.4319,4.8225,-54.2544,2023-05-25T08:00:00+00:00,2023-05-25T16:00:00+00:00,28800.0
BTCUSDT,mean_reversion,long,11676.641489,11364.65831,0.1567,-48.8878,3.6106,-52.4983,2023-05-27T01:00:00+00:00,2023-05-29T05:00:00+00:00,187200.0
BTCUSDT,mean_reversion,short,12864.190125,12220.9231,0.0854,54.935,2.1423,52.7927,2023-06-02T01:00:00+00:00,2023-06-02T11:00:00+00:00,36000.0
BTCUSDT,mean_reversion,long,23712.646157,23194.259213,0.0943,-48.8839,4.4233,-53.3072,2023-08-28T08:00:00+00:00,2023-08-28T12:00:00+00:00,14400.0
BTCUSDT,mean_reversion,long,22181.0515,21632.82215,0.0882,-48.3538,3.8644,-52.2182,2023-08-28T20:00:00+00:00,2023-08-29T04:00:00+00:00,28800.0
BTCUSDT,mean_reversion,short,24292.717893,24814.746716,0.0458,-23.9089,2.2491,-26.158,2023-08-30T08:00:00+00:00,2023-08-30T18:00:00+00:00,36000.0
BTCUSDT,mean_reversion,short,25813.852395,24365.960346,0.0391,56.6126,1.962,54.6505,2023-09-19T04:00:00+00:00,2023-09-20T05:00:00+00:00,90000.0
BTCUSDT,mean_reversion,long,25122.551153,24461.022447,0.0363,-24.0135,1.7999,-25.8134,2023-09-25T17:00:00+00:00,2023-09-27T11:00:00+00:00,151200.0
BTCUSDT,mean_reversion,long,23708.051786,23090.350791,0.0387,-23.905,1.8111,-25.7161,2023-09-27T16:00:00+00:00,2023-09-28T06:00:00+00:00,50400.0
BTCUSDT,mean_reversion,long,23861.180627,23306.726856,0.0429,-23.7861,2.0235,-25.8096,2023-11-12T20:00:00+00:00,2023-11-13T09:00:00+00:00,46800.0
BTCUSDT,mean_reversion,short,23656.580057,22340.757586,0.0412,54.2119,1.8951,52.3168,2024-01-02T01:00:00+00:00,2024-01-03T01:00:00+00:00,86400.0
BTCUSDT,mean_reversion,long,22258.573984,21767.154955,0.0487,-23.9321,2.1441,-26.0762,2024-01-03T05:00:00+00:00,2024-01-03T13:00:00+00:00,28800.0
BTCUSDT,mean_reversion,short,26389.430329,27016.123178,0.0379,-23.7517,2.0241,-25.7757,2024-02-12T16:00:00+00:00,2024-02-13T04:00:00+00:00,43200.0
BTCUSDT,mean_reversion,short,28098.890014,26680.37525,0.0383,54.3291,2.098,52.2311,2024-02-13T15:00:00+00:00,2024-02-13T20:00:00+00:00,18000.0
BTCUSDT,mean_reversion,short,29609.107425,30337.932297,0.0328,-23.9055,1.9663,-25.8717,2024-03-25T23:00:00+00:00,2024-03-26T16:00:00+00:00,61200.0
BTCUSDT,mean_reversion,short,32417.046489,30615.122931,0.0312,56.22,1.9666,54.2534,2024-04-10T01:00:00+00:00,2024-04-10T14:00:00+00:00,46800.0
BTCUSDT,mean_reversion,long,24636.874624,24095.817381,0.0445,-24.077,2.1686,-26.2457,2024-05-17T01:00:00+00:00,2024-05-17T11:00:00+00:00,36000.0
BTCUSDT,mean_reversion,long,23043.45813,24424.547558,0.0395,54.553,1.875,52.678,2024-07-02T11:00:00+00:00,2024-07-03T13:00:00+00:00,93600.0
BTCUSDT,mean_reversion,long,23819.516113,25139.639931,0.043,56.7653,2.1052,54.6601,2024-07-21T01:00:00+00:00,2024-07-22T07:00:00+00:00,108000.0
BTCUSDT,mean_reversion,short,30489.96303,31200.024864,0.0344,-24.4261,2.1221,-26.5483,2024-08-03T13:00:00+00:00,2024-08-04T01:00:00+00:00,43200.0
